Country,Y1980,Y1981,Y1982,Y1983
Togo,20.90726,20.93318,20.9509,20.95109
Tonga,26.38245,26.53977,26.71129,26.87732
Trinidad and Tobago,24.81322,24.89256,24.96594,25.02672
Tunisia,22.19206,22.27883,22.36236,22.44939
Turkey,23.66064,23.72726,23.79751,23.86535
Turkmenistan,24.36178,24.39382,24.4241,24.4529
Uganda,21.26771,21.2759,21.30671,21.34758
Ukraine,24.91605,24.92332,24.93381,24.94412
United Arab Emirates,24.88388,25.0757,25.2388,25.36219
United Kingdom,24.72216,24.78911,24.86057,24.93208
United States,25.46406,25.57524,25.67883,25.78812
Uruguay,24.24001,24.31948,24.3926,24.44209
Uzbekistan,24.565,24.60077,24.62187,24.6478
Vanuatu,23.20701,23.3299,23.46016,23.60431
Venezuela,24.58052,24.69666,24.80082,24.89208
