i,ID,MIG.grey,Aniso.grey,Timestamp,DateAndTime,PLOT,CAM
57,WSCT0059.JPG,0.208705764,0.93674185,22/06/2016 13:55,2015:05:31 10:00:01,LADERA,3
58,WSCT0060.JPG,0.213388187,0.957538044,22/06/2016 13:56,2015:05:31 11:00:01,LADERA,3
59,WSCT0061.JPG,0.221167075,0.954732687,22/06/2016 13:56,2015:05:31 12:00:01,LADERA,3
60,WSCT0062.JPG,0.202935187,0.96586757,22/06/2016 13:56,2015:05:31 13:00:01,LADERA,3
61,WSCT0063.JPG,0.216280892,0.969355916,22/06/2016 13:57,2015:05:31 14:00:01,LADERA,3
62,WSCT0064.JPG,0.219249276,0.961155142,22/06/2016 13:57,2015:06:01 09:00:01,LADERA,3
63,WSCT0065.JPG,0.226799734,0.957215482,22/06/2016 13:57,2015:06:01 10:00:01,LADERA,3
64,WSCT0066.JPG,0.217816305,0.947510268,22/06/2016 13:58,2015:06:01 11:00:01,LADERA,3
65,WSCT0067.JPG,0.224028483,0.947151093,22/06/2016 13:58,2015:06:01 12:00:01,LADERA,3
66,WSCT0068.JPG,0.240736602,0.986568278,22/06/2016 13:58,2015:06:01 13:00:01,LADERA,3
67,WSCT0069.JPG,0.202844317,0.993544285,22/06/2016 13:59,2015:06:01 14:00:01,LADERA,3
68,WSCT0070.JPG,0.127286008,0.954372982,22/06/2016 13:59,2015:06:02 09:00:01,LADERA,3
69,WSCT0071.JPG,0.154756151,0.95064836,22/06/2016 13:59,2015:06:02 10:00:01,LADERA,3
70,WSCT0072.JPG,0.205603081,0.963977867,22/06/2016 13:59,2015:06:02 11:00:01,LADERA,3
71,WSCT0073.JPG,0.224063733,0.95643659,22/06/2016 14:00,2015:06:02 12:00:01,LADERA,3
72,WSCT0074.JPG,0.220866362,0.971390486,22/06/2016 14:00,2015:06:02 13:00:01,LADERA,3
73,WSCT0075.JPG,0.204209174,0.993132328,22/06/2016 14:00,2015:06:02 14:00:01,LADERA,3
74,WSCT0076.JPG,0.218571665,0.956962018,22/06/2016 14:01,2015:06:03 09:00:01,LADERA,3
75,WSCT0077.JPG,0.211050064,0.934832124,22/06/2016 14:01,2015:06:03 10:00:01,LADERA,3
76,WSCT0078.JPG,0.219442477,0.948005627,22/06/2016 14:01,2015:06:03 11:00:01,LADERA,3
77,WSCT0079.JPG,0.214691641,0.975202245,22/06/2016 14:02,2015:06:03 12:00:01,LADERA,3
78,WSCT0080.JPG,0.211225883,0.974668239,22/06/2016 14:02,2015:06:03 13:00:01,LADERA,3
79,WSCT0081.JPG,0.196573854,0.983287177,22/06/2016 14:02,2015:06:03 14:00:01,LADERA,3
80,WSCT0082.JPG,0.186054492,0.966085142,22/06/2016 14:02,2015:06:04 09:00:01,LADERA,3
81,WSCT0083.JPG,0.207537439,0.939932933,22/06/2016 14:03,2015:06:04 10:00:01,LADERA,3
82,WSCT0084.JPG,0.228077413,0.947366979,22/06/2016 14:03,2015:06:04 11:00:01,LADERA,3
83,WSCT0085.JPG,0.230856774,0.941776469,22/06/2016 14:03,2015:06:04 12:00:01,LADERA,3
84,WSCT0086.JPG,0.205276454,0.970345659,22/06/2016 14:04,2015:06:04 13:00:01,LADERA,3
85,WSCT0087.JPG,0.194855422,0.983423506,22/06/2016 14:04,2015:06:04 14:00:01,LADERA,3
86,WSCT0088.JPG,0.225503549,0.951109403,22/06/2016 14:04,2015:06:05 09:00:01,LADERA,3
87,WSCT0089.JPG,0.213645272,0.93142775,22/06/2016 14:05,2015:06:05 10:00:01,LADERA,3
88,WSCT0090.JPG,0.222533592,0.949380946,22/06/2016 14:05,2015:06:05 11:00:01,LADERA,3
89,WSCT0091.JPG,0.223441478,0.953223231,22/06/2016 14:05,2015:06:05 12:00:01,LADERA,3
90,WSCT0092.JPG,0.21108815,0.966134939,22/06/2016 14:05,2015:06:05 13:00:01,LADERA,3
91,WSCT0093.JPG,0.202634038,0.987854774,22/06/2016 14:06,2015:06:05 14:00:01,LADERA,3
92,WSCT0094.JPG,0.21640663,0.964139527,22/06/2016 14:06,2015:06:06 09:00:01,LADERA,3
93,WSCT0095.JPG,0.223586616,0.991013115,22/06/2016 14:06,2015:06:06 10:00:01,LADERA,3
94,WSCT0096.JPG,0.283911048,0.993359787,22/06/2016 14:07,2015:06:06 11:00:01,LADERA,3
95,WSCT0097.JPG,0.295512882,0.989196508,22/06/2016 14:07,2015:06:06 12:00:01,LADERA,3
96,WSCT0098.JPG,0.260046372,0.987603441,22/06/2016 14:07,2015:06:06 13:00:01,LADERA,3
97,WSCT0099.JPG,0.219438296,0.984844688,22/06/2016 14:08,2015:06:06 14:00:01,LADERA,3
98,WSCT0100.JPG,0.217511869,0.965409451,22/06/2016 14:08,2015:06:07 09:00:01,LADERA,3
99,WSCT0101.JPG,0.220779452,0.978518372,22/06/2016 14:08,2015:06:07 10:00:01,LADERA,3
100,WSCT0102.JPG,0.221946309,0.954264794,22/06/2016 14:08,2015:06:07 11:00:01,LADERA,3
101,WSCT0103.JPG,0.245866474,0.966813191,22/06/2016 14:09,2015:06:07 12:00:01,LADERA,3
102,WSCT0104.JPG,0.218231471,0.992568339,22/06/2016 14:09,2015:06:07 13:00:01,LADERA,3
103,WSCT0105.JPG,0.194412395,0.988575731,22/06/2016 14:09,2015:06:07 14:00:01,LADERA,3
104,WSCT0106.JPG,0.247697189,0.979186109,22/06/2016 14:10,2015:06:08 09:00:01,LADERA,3
105,WSCT0107.JPG,0.29107884,0.980738174,22/06/2016 14:10,2015:06:08 10:00:01,LADERA,3
106,WSCT0108.JPG,0.227890493,0.986992435,22/06/2016 14:10,2015:06:08 11:00:01,LADERA,3
107,WSCT0109.JPG,0.200531454,0.976456514,22/06/2016 14:11,2015:06:08 12:00:01,LADERA,3
108,WSCT0110.JPG,0.213425656,0.978409899,22/06/2016 14:11,2015:06:08 13:00:01,LADERA,3
109,WSCT0111.JPG,0.208293948,0.98596584,22/06/2016 14:11,2015:06:08 14:00:01,LADERA,3
110,WSCT0112.JPG,0.165183636,0.944168444,22/06/2016 14:12,2015:06:09 09:00:01,LADERA,3
111,WSCT0113.JPG,0.199395056,0.919418938,22/06/2016 14:12,2015:06:09 10:00:01,LADERA,3
112,WSCT0114.JPG,0.229476158,0.949827702,22/06/2016 14:12,2015:06:09 11:00:01,LADERA,3
113,WSCT0115.JPG,0.227279848,0.945425303,22/06/2016 14:12,2015:06:09 12:00:01,LADERA,3
114,WSCT0116.JPG,0.224975539,0.970822036,22/06/2016 14:13,2015:06:09 13:00:01,LADERA,3
115,WSCT0117.JPG,0.199432964,0.986079476,22/06/2016 14:13,2015:06:09 14:00:01,LADERA,3
116,WSCT0118.JPG,0.168173191,0.953861667,22/06/2016 14:13,2015:06:10 09:00:01,LADERA,3
117,WSCT0119.JPG,0.242171446,0.97595188,22/06/2016 14:14,2015:06:10 10:00:01,LADERA,3
118,WSCT0120.JPG,0.219586203,0.957597739,22/06/2016 14:14,2015:06:10 11:00:01,LADERA,3
119,WSCT0121.JPG,0.228229337,0.978980274,22/06/2016 14:14,2015:06:10 12:00:01,LADERA,3
120,WSCT0122.JPG,0.14539518,0.968280524,22/06/2016 14:15,2015:06:10 13:00:01,LADERA,3
121,WSCT0123.JPG,0.165931031,0.970342492,22/06/2016 14:15,2015:06:10 14:00:01,LADERA,3
122,WSCT0124.JPG,0.190050897,0.964861471,22/06/2016 14:15,2015:06:11 09:00:01,LADERA,3
123,WSCT0125.JPG,0.208596241,0.934623346,22/06/2016 14:15,2015:06:11 10:00:01,LADERA,3
124,WSCT0126.JPG,0.215321092,0.963838677,22/06/2016 14:16,2015:06:11 11:00:01,LADERA,3
125,WSCT0127.JPG,0.215684846,0.947099364,22/06/2016 14:16,2015:06:11 12:00:01,LADERA,3
126,WSCT0128.JPG,0.21575223,0.971835444,22/06/2016 14:16,2015:06:11 13:00:01,LADERA,3
127,WSCT0129.JPG,0.191695692,0.981866929,22/06/2016 14:17,2015:06:11 14:00:01,LADERA,3
128,WSCT0130.JPG,0.197965277,0.957692168,22/06/2016 14:17,2015:06:12 09:00:01,LADERA,3
129,WSCT0131.JPG,0.206991125,0.936711431,22/06/2016 14:17,2015:06:12 10:00:01,LADERA,3
130,WSCT0132.JPG,0.210070305,0.945790603,22/06/2016 14:18,2015:06:12 11:00:01,LADERA,3
131,WSCT0133.JPG,0.200640859,0.947837929,22/06/2016 14:18,2015:06:12 12:00:01,LADERA,3
132,WSCT0134.JPG,0.214336072,0.973540714,22/06/2016 14:18,2015:06:12 13:00:01,LADERA,3
133,WSCT0135.JPG,0.236775465,0.976360618,22/06/2016 14:19,2015:06:12 14:00:01,LADERA,3
134,WSCT0136.JPG,0.239304738,0.968523884,22/06/2016 14:19,2015:06:13 09:00:01,LADERA,3
135,WSCT0137.JPG,0.195790457,0.943220667,22/06/2016 14:19,2015:06:13 10:00:01,LADERA,3
136,WSCT0138.JPG,0.205081875,0.949017881,22/06/2016 14:19,2015:06:13 11:00:01,LADERA,3
137,WSCT0139.JPG,0.182749059,0.961554818,22/06/2016 14:20,2015:06:13 12:00:01,LADERA,3
138,WSCT0140.JPG,0.201177555,0.965786526,22/06/2016 14:20,2015:06:13 13:00:01,LADERA,3
139,WSCT0141.JPG,0.200777412,0.974078857,22/06/2016 14:20,2015:06:13 14:00:01,LADERA,3
